model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,preproc_scaled
XGBoost,f1,0.27235960960388184,0.01642059908923571,0.019823551177978516,0.00019344314412701567,0.1,15,1000,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 15, 'classifier__n_estimators': 1000}",0.8986784140969163,0.9293598233995585,0.8874172185430463,0.9051518186798404,0.01772426304453955,12,0.9197994987468672,0.9395465994962217,0.8985507246376812,0.9192989409602567,0.016740238099214332,1,0.963254593175853,0.979002624671916,0.9763779527559056,0.9728783902012248,0.006888895777788105,20,0.941025641025641,0.9588688946015425,0.9358490566037736,0.9452478640769857,0.009860649437109792,11,False
XGBoost,f1,0.9692586263020834,0.005417172330657127,0.020940701166788738,0.0004228854890535713,0.05,5,100,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}",0.8986784140969163,0.9293598233995585,0.8852097130242825,0.9044159835069191,0.018475169617411944,14,0.9095354523227384,0.9308641975308642,0.8963855421686747,0.9122617306740924,0.014207248481742377,48,0.9763779527559056,0.989501312335958,0.9763779527559056,0.9807524059492563,0.006186411034002995,2,0.9417721518987342,0.9592875318066157,0.9346733668341709,0.9452443501798403,0.010344286667855826,12,False
XGBoost,f1,0.21064058939615884,0.033898492043125436,0.0345458984375,0.015932116790214012,0.1,10,500,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 500}",0.8964757709251101,0.9315673289183223,0.8874172185430463,0.9051534394621595,0.01904003693915247,11,0.9175,0.9396984924623115,0.9004854368932039,0.9192279764518384,0.016055224668417883,3,0.963254593175853,0.9816272965879265,0.973753280839895,0.9728783902012248,0.007526093846931403,20,0.939820742637644,0.9602053915275995,0.935687263556116,0.9452377992404531,0.010717369903884683,13,False
XGBoost,f1,1.0754471619923909,0.01026305683385633,0.0199582576751709,0.0006908439885537272,0.05,5,500,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 5, 'classifier__n_estimators': 500}",0.9008810572687225,0.9249448123620309,0.8874172185430463,0.9044143627245999,0.015522956334497434,15,0.917910447761194,0.9370277078085643,0.8985507246376812,0.9178296267358131,0.015708266560672507,11,0.968503937007874,0.9763779527559056,0.9763779527559056,0.9737532808398951,0.0037118466204018696,13,0.9425287356321839,0.9562982005141388,0.9358490566037736,0.9448919975833654,0.008513934732900479,14,False
XGBoost,f1,0.15764562288920084,0.0032192583472265596,0.01902619997660319,0.00041989721388887994,0.2,20,500,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 20, 'classifier__n_estimators': 500}",0.8898678414096917,0.9293598233995585,0.8940397350993378,0.9044224666361959,0.017715435755236042,13,0.912718204488778,0.9395465994962217,0.9012048192771084,0.917823207754036,0.016063806550678194,12,0.9606299212598425,0.979002624671916,0.9816272965879265,0.9737532808398951,0.009341275811051023,13,0.9360613810741688,0.9588688946015425,0.9396984924623115,0.9448762560460077,0.010005085211092071,15,False
XGBoost,f1,0.4557794729868571,0.07739586780599834,0.027451038360595703,0.005353526343555298,0.1,15,1500,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 15, 'classifier__n_estimators': 1500}",0.9008810572687225,0.9271523178807947,0.8852097130242825,0.9044143627245999,0.0173043098893653,15,0.92,0.9393939393939394,0.8983050847457628,0.9192330080465675,0.016783219825512636,2,0.9658792650918635,0.9763779527559056,0.973753280839895,0.9720034995625547,0.004461084438838848,26,0.942381562099872,0.9575289575289575,0.9345088161209067,0.944806445249912,0.009553071803707066,16,False
XGBoost,f1,0.4481533368428548,0.08131341658561887,0.02766553560892741,0.005284491035481962,0.1,10,1500,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 1500}",0.8920704845814978,0.9337748344370861,0.8852097130242825,0.9036850106809555,0.021460283732922775,17,0.9108910891089109,0.9398496240601504,0.8983050847457628,0.9163485993049413,0.017393974049768054,19,0.9658792650918635,0.984251968503937,0.973753280839895,0.9746281714785652,0.00752609384693145,10,0.9375796178343949,0.9615384615384616,0.9345088161209067,0.9445422984979212,0.012083311476753556,17,False
XGBoost,f1,0.0802466869354248,0.004718508919937231,0.01776742935180664,0.0003383570978304179,0.2,5,100,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}",0.8942731277533039,0.9227373068432672,0.891832229580574,0.902947554725715,0.014028903797233028,18,0.9152119700748129,0.9390862944162437,0.9029126213592233,0.9190702952834267,0.015017737527573145,4,0.963254593175853,0.9711286089238845,0.9763779527559056,0.9702537182852143,0.005393188104084848,41,0.9386189258312021,0.9548387096774194,0.9382093316519546,0.9438889890535253,0.0077444271642652975,18,False
XGBoost,f1,0.4074247678120931,0.06170529590887537,0.02632602055867513,0.003458970332846026,0.1,5,1500,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 1500}",0.8942731277533039,0.9293598233995585,0.8830022075055187,0.9022117195527937,0.01974036588083795,22,0.9111111111111111,0.9395465994962217,0.8961352657004831,0.915597658769272,0.01800431074118955,28,0.968503937007874,0.979002624671916,0.973753280839895,0.9737532808398951,0.004286071290959214,13,0.9389312977099237,0.9588688946015425,0.9333333333333333,0.9437111752149331,0.010959064559921376,19,False
XGBoost,f1,0.09106310208638509,0.001878011351555297,0.019636233647664387,0.0012130659258172878,0.2,20,100,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 20, 'classifier__n_estimators': 100}",0.8898678414096917,0.9315673289183223,0.8852097130242825,0.9022149611174322,0.020842195368255347,19,0.9106699751861043,0.9375,0.8983050847457628,0.9154916866439556,0.016360460903935264,30,0.963254593175853,0.984251968503937,0.973753280839895,0.9737532808398951,0.008572142581918383,13,0.9362244897959183,0.9603072983354674,0.9345088161209067,0.9436802014174308,0.011777977980992527,20,False
